ALWNC_DE,ALWNC_RESN,BSI_INT,ENG_RN,MVMN_DE,MVMN_RESN,MVM_RES_CD,NTFC_DE,OPERT_DE,RBP_CN,RDS_DPN_SE,RDS_MAN_NO,REP_CN,RN,RN_CD,ROAD_BT,ROAD_LT,ROA_CLS_SE,SIG_CD,WDR_RD_CD
"20101018","도곡로 시점에서 17번째 분기된 도로","16","Dogok-ro 17-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225532","도곡동 799-10","0",612,"도곡동 794","도곡로17길","4166216",6.000,249.000,"4","11680","3"
"20101018","도곡로 시점에서 19번째 분기된 도로","15","Dogok-ro 19-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225532","도곡동 794-36","0",613,"도곡동 795","도곡로19길","4166218",6.000,176.000,"4","11680","3"
"20101018","도곡로 시점에서 21번째 분기된 도로","16","Dogok-ro 21-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225532","도곡동 799-19","0",614,"도곡동 796","도곡로21길","4166220",6.000,235.000,"4","11680","3"
"20101018","도곡로 시점에서 23번째 분기된 도로","16","Dogok-ro 23-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225532","도곡동 798-32","0",615,"도곡동 797","도곡로23길","4166222",6.000,331.000,"4","11680","3"
"20101018","도곡로 시점에서 25번째 분기된 도로","16","Dogok-ro 25-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225532","도곡동 788-16","0",616,"도곡동 775","도곡로25길","4166223",6.000,344.000,"4","11680","3"
"20101018","도곡로 시점에서 33번째 분기된 도로","16","Dogok-ro 33-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225532","도곡동 787-9","0",617,"도곡동 780","도곡로33길","4166227",6.000,234.000,"4","11680","3"
"20101018","도곡로 시점에서 37번째 분기된 도로","16","Dogok-ro 37-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225532","도곡동 786-16","0",618,"도곡동 773","도곡로37길","4166229",12.000,438.000,"4","11680","3"
"20101018","도곡로 시점에서 43번째 분기된 도로","16","Dogok-ro 43-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225532","도곡동 762-1","0",619,"도곡동 760","도곡로43길","4166233",12.000,329.000,"4","11680","3"
"20101018","도곡로 시점에서 51번째 분기된 도로","16","Dogok-ro 51-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225532","도곡동 766-20","0",620,"도곡동 757-1","도곡로51길","4166235",6.000,296.000,"4","11680","3"
"20101018","도곡로 시점에서 57번째 분기된 도로","18","Dogok-ro 57-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225532","도곡동 766-26","0",621,"도곡동 765","도곡로57길","4166236",12.000,154.000,"4","11680","3"
"20101018","도곡로 시점에서 63번째 분기된 도로","16","Dogok-ro 63-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225532","대치동 937-2","0",622,"대치동 924","도곡로63길","4166238",12.000,295.000,"4","11680","3"
